Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

C20.Bu3    C1206                    37mm          29mm          37mm          29mm          37mm       27.65mm  B         90.00 Cap Semi       
C20.Bu2    C1206                    37mm        16.5mm          37mm        16.5mm          37mm       15.15mm  B         90.00 Cap Semi       
C20.Bu1    C1206                    37mm           4mm          37mm           4mm          37mm        2.65mm  B         90.00 Cap Semi       
C19.Bu3    C1206                  44.5mm       33.55mm        44.5mm       33.55mm       45.85mm       33.55mm  B        180.00 Cap Semi       
C19.Bu2    C1206                  44.5mm       21.05mm        44.5mm       21.05mm       45.85mm       21.05mm  B        180.00 Cap Semi       
C19.Bu1    C1206                  44.5mm        8.55mm        44.5mm        8.55mm       45.85mm        8.55mm  B        180.00 Cap Semi       
C18        0402                 30.875mm      12.625mm      30.875mm      12.625mm      31.375mm      12.625mm  B        180.00 Cap Semi       
C17        0402                   30.9mm      16.875mm        30.9mm      16.875mm        30.4mm      16.875mm  B        360.00 Cap Semi       
C16        0402                  31.95mm      20.525mm       31.95mm      20.525mm       31.45mm      20.525mm  B        360.00 Cap Semi       
C13        0402                 15.825mm       6.025mm      15.825mm       6.025mm      15.325mm       6.025mm  B          0.00 Cap Semi       
C12.Bu3    0402                38.9571mm     29.8242mm     38.9571mm     29.8242mm     38.9571mm     30.3242mm  B        270.00 Cap Semi       
C12.Bu2    0402                38.9571mm     17.3242mm     38.9571mm     17.3242mm     38.9571mm     17.8242mm  B        270.00 Cap Semi       
C12.Bu1    0402                38.9571mm      4.8243mm     38.9571mm      4.8243mm     38.9571mm      5.3243mm  B        270.00 Cap Semi       
C10        0402                  4.425mm      -1.075mm       4.425mm      -1.075mm       3.925mm      -1.075mm  B        360.00 Cap Semi       
C9.P9      0402                  12.85mm        29.2mm       12.85mm        29.2mm       12.85mm        29.7mm  T        270.00 Cap Semi       
C9.P8      0402                  19.35mm        29.2mm       19.35mm        29.2mm       19.35mm        29.7mm  T        270.00 Cap Semi       
C9.P7      0402                  26.35mm        29.2mm       26.35mm        29.2mm       26.35mm        29.7mm  T        270.00 Cap Semi       
C9.P6      0402                 26.525mm        19.7mm      26.525mm        19.7mm      26.525mm        20.2mm  T        270.00 Cap Semi       
C9.P5      0402                 19.525mm        19.7mm      19.525mm        19.7mm      19.525mm        20.2mm  T        270.00 Cap Semi       
C9.P4      0402                 26.525mm        10.2mm      26.525mm        10.2mm      26.525mm        10.7mm  T        270.00 Cap Semi       
C9.P3      0402                 19.525mm        10.2mm      19.525mm        10.2mm      19.525mm        10.7mm  T        270.00 Cap Semi       
C9.P2      0402                 26.525mm         0.7mm      26.525mm         0.7mm      26.525mm         1.2mm  T        270.00 Cap Semi       
C9.P1      0402                 19.525mm         0.7mm      19.525mm         0.7mm      19.525mm         1.2mm  T        270.00 Cap Semi       
C8.P9      0402                11.7438mm      17.725mm     11.7438mm      17.725mm     11.7438mm      18.225mm  B        270.00 Cap Semi       
C8.P8      0402                14.0719mm      17.725mm     14.0719mm      17.725mm     14.0719mm      18.225mm  B        270.00 Cap Semi       
C8.P7      0402                 11.225mm      19.375mm      11.225mm      19.375mm      10.725mm      19.375mm  B        360.00 Cap Semi       
C8.P6      0402                14.0719mm     15.2333mm     14.0719mm     15.2333mm     14.0719mm     15.7333mm  B        270.00 Cap Semi       
C8.P5      0402                11.7438mm     15.2333mm     11.7438mm     15.2333mm     11.7438mm     15.7333mm  B        270.00 Cap Semi       
C8.P4      0402                14.0719mm     12.7417mm     14.0719mm     12.7417mm     14.0719mm     13.2417mm  B        270.00 Cap Semi       
C8.P3      0402                11.7438mm     12.7417mm     11.7438mm     12.7417mm     11.7438mm     13.2417mm  B        270.00 Cap Semi       
C8.P2      0402                14.0719mm       10.25mm     14.0719mm       10.25mm     14.0719mm       10.75mm  B        270.00 Cap Semi       
C8.P1      0402                11.7438mm       10.25mm     11.7438mm       10.25mm     11.7438mm       10.75mm  B        270.00 Cap Semi       
C7.P9      0805                 10.525mm        27.5mm      10.525mm        27.5mm       9.525mm        27.5mm  T        360.00 Cap Semi       
C7.P8      0805                 17.025mm        27.5mm      17.025mm        27.5mm      16.025mm        27.5mm  T        360.00 Cap Semi       
C7.P7      0805                 24.075mm        27.5mm      24.075mm        27.5mm      23.075mm        27.5mm  T        360.00 Cap Semi       
C7.P6      0805                 24.075mm          18mm      24.075mm          18mm      23.075mm          18mm  T        360.00 Cap Semi       
C7.P5      0805                   17.1mm          18mm        17.1mm          18mm        16.1mm          18mm  T        360.00 Cap Semi       
C7.P4      0805                   24.1mm         8.5mm        24.1mm         8.5mm        23.1mm         8.5mm  T        360.00 Cap Semi       
C7.P3      0805                 17.075mm         8.5mm      17.075mm         8.5mm      16.075mm         8.5mm  T        360.00 Cap Semi       
C7.P2      0805                  24.05mm          -1mm       24.05mm          -1mm       23.05mm          -1mm  T          0.00 Cap Semi       
C7.P1      0805                 17.375mm          -1mm      17.375mm          -1mm      16.375mm          -1mm  T        360.00 Cap Semi       
C3.P9      1608[0603]           13.375mm        27.7mm      13.375mm        27.7mm      12.675mm        27.7mm  B        360.00 Cap Semi       
C3.P8      1608[0603]           19.875mm        27.7mm      19.875mm        27.7mm      19.175mm        27.7mm  B        360.00 Cap Semi       
