Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

C9.P6      0402              1044.291mil    775.591mil   1044.291mil    775.591mil   1044.291mil    795.276mil  T        270.00 Cap Semi       
C9.P5      0402               768.701mil    775.591mil    768.701mil    775.591mil    768.701mil    795.276mil  T        270.00 Cap Semi       
C9.P4      0402              1044.291mil    401.575mil   1044.291mil    401.575mil   1044.291mil     421.26mil  T        270.00 Cap Semi       
C9.P3      0402               768.701mil    401.575mil    768.701mil    401.575mil    768.701mil     421.26mil  T        270.00 Cap Semi       
C9.P2      0402              1044.291mil     27.559mil   1044.291mil     27.559mil   1044.291mil     47.244mil  T        270.00 Cap Semi       
C9.P1      0402               768.701mil     27.559mil    768.701mil     27.559mil    768.701mil     47.244mil  T        270.00 Cap Semi       
C8.P9      0402               462.352mil    697.835mil    462.352mil    697.835mil    462.352mil     717.52mil  B        270.00 Cap Semi       
C8.P8      0402               554.011mil    697.835mil    554.011mil    697.835mil    554.011mil     717.52mil  B        270.00 Cap Semi       
C8.P7      0402               441.929mil    762.795mil    441.929mil    762.795mil    422.244mil    762.795mil  B        360.00 Cap Semi       
C8.P6      0402               554.011mil    599.737mil    554.011mil    599.737mil    554.011mil    619.423mil  B        270.00 Cap Semi       
C8.P5      0402               462.352mil    599.737mil    462.352mil    599.737mil    462.352mil    619.423mil  B        270.00 Cap Semi       
C8.P4      0402               554.011mil     501.64mil    554.011mil     501.64mil    554.011mil    521.325mil  B        270.00 Cap Semi       
C8.P3      0402               462.352mil     501.64mil    462.352mil     501.64mil    462.352mil    521.325mil  B        270.00 Cap Semi       
C8.P2      0402               554.011mil    403.543mil    554.011mil    403.543mil    554.011mil    423.228mil  B        270.00 Cap Semi       
C8.P1      0402               462.352mil    403.543mil    462.352mil    403.543mil    462.352mil    423.228mil  B        270.00 Cap Semi       
C7.P9      0805                414.37mil   1082.677mil     414.37mil   1082.677mil        375mil   1082.677mil  T        360.00 Cap Semi       
C7.P8      0805               670.276mil   1082.677mil    670.276mil   1082.677mil    630.905mil   1082.677mil  T        360.00 Cap Semi       
C7.P7      0805               947.835mil   1082.677mil    947.835mil   1082.677mil    908.465mil   1082.677mil  T        360.00 Cap Semi       
C7.P6      0805               947.835mil    708.662mil    947.835mil    708.661mil    908.465mil    708.662mil  T        360.00 Cap Semi       
C7.P5      0805               673.228mil    708.662mil    673.228mil    708.661mil    633.858mil    708.662mil  T        360.00 Cap Semi       
C7.P4      0805               948.819mil    334.646mil    948.819mil    334.646mil    909.449mil    334.646mil  T        360.00 Cap Semi       
C7.P3      0805               672.244mil    334.646mil    672.244mil    334.646mil    632.874mil    334.646mil  T        360.00 Cap Semi       
C7.P2      0805                946.85mil     -39.37mil     946.85mil     -39.37mil     907.48mil     -39.37mil  T          0.00 Cap Semi       
C7.P1      0805               684.055mil     -39.37mil    684.055mil     -39.37mil    644.685mil     -39.37mil  T        360.00 Cap Semi       
C3.P9      1608[0603]         526.575mil   1090.551mil    526.575mil   1090.551mil    499.016mil   1090.551mil  B        360.00 Cap Semi       
C3.P8      1608[0603]          782.48mil   1090.551mil     782.48mil   1090.551mil    754.921mil   1090.551mil  B        360.00 Cap Semi       
C3.P7      1608[0603]        1058.071mil   1090.551mil   1058.071mil   1090.551mil   1030.512mil   1090.551mil  B        360.00 Cap Semi       
C3.P6      1608[0603]        1058.071mil    716.535mil   1058.071mil    716.535mil   1030.512mil    716.535mil  B        360.00 Cap Semi       
C3.P5      1608[0603]          782.48mil    716.535mil     782.48mil    716.535mil    754.921mil    716.535mil  B        360.00 Cap Semi       
C3.P4      1608[0603]        1058.071mil    342.519mil   1058.071mil     342.52mil   1030.512mil    342.519mil  B        360.00 Cap Semi       
C3.P3      1608[0603]          782.48mil    342.519mil     782.48mil     342.52mil    754.921mil    342.519mil  B        360.00 Cap Semi       
C3.P2      1608[0603]        1058.071mil    -31.496mil   1058.071mil    -31.496mil   1030.512mil    -31.496mil  B        360.00 Cap Semi       
C31.P9     0402               484.252mil   1330.709mil    484.252mil   1330.709mil    484.252mil   1350.394mil  B        270.00 Cap Semi       
C31.P8     0402               740.157mil   1330.709mil    740.157mil   1330.709mil    740.157mil   1350.394mil  B        270.00 Cap Semi       
C31.P7     0402              1015.748mil   1330.709mil   1015.748mil   1330.709mil   1015.748mil   1350.394mil  B        270.00 Cap Semi       
C31.P6     0402              1015.748mil    956.693mil   1015.748mil    956.693mil   1015.748mil    976.378mil  B        270.00 Cap Semi       
C31.P5     0402               740.157mil    956.693mil    740.157mil    956.693mil    740.157mil    976.378mil  B        270.00 Cap Semi       
C31.P4     0402              1015.748mil    582.677mil   1015.748mil    582.677mil   1015.748mil    602.362mil  B        270.00 Cap Semi       
C31.P3     0402               740.157mil    582.677mil    740.157mil    582.677mil    740.157mil    602.362mil  B        270.00 Cap Semi       
C31.P2     0402              1015.748mil    208.661mil   1015.748mil    208.661mil   1015.748mil    228.346mil  B        270.00 Cap Semi       
C31.P1     0402               740.157mil    208.661mil    740.157mil    208.661mil    740.157mil    228.346mil  B        270.00 Cap Semi       
C4.P9      1608[0603]          381.89mil   1319.882mil     381.89mil   1319.882mil     381.89mil   1292.323mil  T         90.00 Cap Semi       
C4.P8      1608[0603]         637.795mil   1319.882mil    637.795mil   1319.882mil    637.795mil   1292.323mil  T         90.00 Cap Semi       
C4.P7      1608[0603]         913.386mil   1319.882mil    913.386mil   1319.882mil    913.386mil   1292.323mil  T         90.00 Cap Semi       
C4.P6      1608[0603]         913.386mil    945.866mil    913.386mil    945.866mil    913.386mil    918.307mil  T         90.00 Cap Semi       
C4.P5      1608[0603]         637.795mil    945.866mil    637.795mil    945.866mil    637.795mil    918.307mil  T         90.00 Cap Semi       
C4.P4      1608[0603]         913.386mil     571.85mil    913.386mil     571.85mil    913.386mil    544.291mil  T         90.00 Cap Semi       
