"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R402","RESC1608M","5.1mm","8.2mm","5.1mm","8.2mm","5.1mm","7.25mm","B","90.00","100R"
"R403","RESC1608M","5.1mm","15.3mm","5.1mm","15.3mm","5.1mm","16.25mm","B","270.00","10k"
"R404","RESC1608M","5.1mm","11.7mm","5.1mm","11.7mm","5.1mm","12.65mm","B","270.00","47k"
"R405","RESC1608M","2.4mm","19.7mm","2.4mm","19.7mm","3.35mm","19.7mm","B","180.00","51k"
"R406","RESC1608M","6.1mm","18mm","6.1mm","18mm","7.05mm","18mm","B","180.00","51k"
"R407","RESC1608M","6.55mm","15.3mm","6.55mm","15.3mm","6.55mm","16.25mm","B","270.00","300k"
"R408","RESC1608M","6.1mm","19.7mm","6.1mm","19.7mm","5.15mm","19.7mm","B","360.00","NM"
"R409","RESC1608M","9.65mm","13.1mm","9.65mm","13.1mm","10.6mm","13.1mm","B","180.00","300k"
"R410","RESC1608M","10.95mm","8.55mm","10.95mm","8.55mm","10.95mm","7.6mm","B","90.00","1k"
"R411","RESC1608M","5.2mm","3.7mm","5.2mm","3.7mm","6.15mm","3.7mm","B","180.00","100k"
"U1_B1","MF05A_N","8.5mm","72.6mm","8.5mm","72.6mm","7.55mm","73.8mm","B","270.00","LMV7239"
"U1_B2","MF05A_N","35.6mm","72.6mm","35.6mm","72.6mm","34.65mm","73.8mm","B","270.00","LMV7239"
"U1_B3","MF05A_N","62.6mm","72.7mm","62.6mm","72.7mm","61.65mm","73.9mm","B","270.00","LMV7239"
"U1_B33","LM22679","25.47mm","4.7025mm","29.28mm","9.315mm","29.28mm","9.315mm","T","180.00","LM22679-ADJ"
"U1_B50","LM22679","52.62mm","4.7275mm","56.43mm","9.34mm","56.43mm","9.34mm","T","180.00","LM22679-ADJ"
"U2_B1","SOT23-5_L","17mm","73.6mm","17mm","73.6mm","15.8mm","72.65mm","B","360.00","MAX4372H"
"U2_B2","SOT23-5_L","43.5mm","73.4mm","43.5mm","73.4mm","42.3mm","72.45mm","B","360.00","MAX4372H"
"U2_B3","SOT23-5_L","70.5mm","73.5mm","70.5mm","73.5mm","69.3mm","72.55mm","B","360.00","MAX4372H"
"U100","SOT23-5_L","-1.26mm","57.93mm","-1.26mm","57.93mm","-0.06mm","58.88mm","B","180.00","MAX4372H"
"U101","SOT23-5_L","4.6mm","24.1mm","4.6mm","24.1mm","5.8mm","25.05mm","B","180.00","MAX4372F"
"U200","MF05A_N","18mm","56.5mm","18mm","56.5mm","16.8mm","55.55mm","B","360.00","LMP2231"
"U201","MF05A_N","9.3mm","56.5mm","9.3mm","56.5mm","8.1mm","55.55mm","B","360.00","LMV7239"
"C1_M501","CAPC3216M","32.26mm","29.74mm","32.26mm","29.74mm","32.26mm","31.29mm","B","270.00","4.7uF"
"C1_M502","CAPC3216M","49.989mm","29.8mm","49.989mm","29.8mm","49.989mm","31.35mm","B","270.00","4.7uF"
"C1_M503","CAPC3216M","67.728mm","29.802mm","67.728mm","29.802mm","67.728mm","31.352mm","B","270.00","4.7uF"
"C1_M504","CAPC3216M","39.736mm","4.456mm","39.736mm","4.456mm","39.736mm","2.906mm","B","90.00","4.7uF"
"C1_M505","CAPC3216M","21.925mm","4.458mm","21.925mm","4.458mm","21.925mm","2.908mm","B","90.00","4.7uF"
"C1_M506","CAPC3216M","57.471mm","4.469mm","57.471mm","4.469mm","57.471mm","2.919mm","B","90.00","4.7uF"
"C2_M501","C0603K","20.86mm","23.24mm","20.86mm","23.24mm","20.86mm","22.365mm","B","90.00","100pF"
"C2_M502","C0603K","38.589mm","23.3mm","38.589mm","23.3mm","38.589mm","22.425mm","B","90.00","100pF"
"C2_M503","C0603K","56.328mm","23.302mm","56.328mm","23.302mm","56.328mm","22.427mm","B","90.00","100pF"
"C2_M504","C0603K","51.136mm","11.156mm","51.136mm","11.156mm","51.136mm","12.031mm","B","270.00","100pF"
"C2_M505","C0603K","33.325mm","11.158mm","33.325mm","11.158mm","33.325mm","12.033mm","B","270.00","100pF"
"C2_M506","C0603K","68.871mm","11.169mm","68.871mm","11.169mm","68.871mm","12.044mm","B","270.00","100pF"
"C3_M501","594D107X9016D2T","22.46mm","29.24mm","22.46mm","26.94mm","22.46mm","26.94mm","B","90.00","100uF"
"C3_M502","594D107X9016D2T","40.189mm","29.3mm","40.189mm","27mm","40.189mm","27mm","B","90.00","100uF"
"C3_M503","594D107X9016D2T","57.928mm","29.302mm","57.928mm","27.002mm","57.928mm","27.002mm","B","90.00","100uF"
"C3_M504","594D107X9016D2T","49.536mm","5.156mm","49.536mm","7.456mm","49.536mm","7.456mm","B","270.00","100uF"
"C3_M505","594D107X9016D2T","31.725mm","5.158mm","31.725mm","7.458mm","31.725mm","7.458mm","B","270.00","100uF"
"C3_M506","594D107X9016D2T","67.271mm","5.169mm","67.271mm","7.469mm","67.271mm","7.469mm","B","270.00","100uF"
"R1_M501","R0603","32.0599mm","33.54mm","32.06mm","33.54mm","31.2099mm","33.54mm","B","360.00","100k"
"R1_M502","R0603","49.7889mm","33.6mm","49.789mm","33.6mm","48.9389mm","33.6mm","B","360.00","100k"
"R1_M503","R0603","67.5279mm","33.602mm","67.528mm","33.602mm","66.6779mm","33.602mm","B","360.00","100k"
"R1_M504","R0603","39.9361mm","0.856mm","39.936mm","0.856mm","40.7861mm","0.856mm","B","180.00","100k"
"R1_M505","R0603","22.1251mm","0.858mm","22.125mm","0.858mm","22.9751mm","0.858mm","B","180.00","100k"
"R1_M506","R0603","57.6711mm","0.869mm","57.671mm","0.869mm","58.5211mm","0.869mm","B","180.00","100k"
"R2_M501","R0603","28.8599mm","33.54mm","28.86mm","33.54mm","28.0099mm","33.54mm","B","360.00","180"
"R2_M502","R0603","46.5889mm","33.6mm","46.589mm","33.6mm","45.7389mm","33.6mm","B","360.00","180"
"R2_M503","R0603","64.3279mm","33.602mm","64.328mm","33.602mm","63.4779mm","33.602mm","B","360.00","180"
"R2_M504","R0603","43.1361mm","0.856mm","43.136mm","0.856mm","43.9861mm","0.856mm","B","180.00","180"
"R2_M505","R0603","25.3251mm","0.858mm","25.325mm","0.858mm","26.1751mm","0.858mm","B","180.00","180"
"R2_M506","R0603","60.8711mm","0.869mm","60.871mm","0.869mm","61.7211mm","0.869mm","B","180.00","180"
"R3_M501","RESC1608M","32.26mm","22.14mm","32.26mm","22.14mm","33.21mm","22.14mm","B","180.00","0R"
"R3_M502","RESC1608M","49.989mm","22.2mm","49.989mm","22.2mm","50.939mm","22.2mm","B","180.00","0R"
"R3_M503","RESC1608M","67.728mm","22.202mm","67.728mm","22.202mm","68.678mm","22.202mm","B","180.00","0R"
"R3_M504","RESC1608M","39.736mm","12.256mm","39.736mm","12.256mm","38.786mm","12.256mm","B","360.00","0R"
"R3_M505","RESC1608M","21.925mm","12.258mm","21.925mm","12.258mm","20.975mm","12.258mm","B","360.00","0R"
"R3_M506","RESC1608M","57.471mm","12.269mm","57.471mm","12.269mm","56.521mm","12.269mm","B","360.00","0R"
"R4_M501","RESC1608M","32.26mm","20.64mm","32.26mm","20.64mm","33.21mm","20.64mm","B","180.00","0R"
"R4_M502","RESC1608M","49.989mm","20.7mm","49.989mm","20.7mm","50.939mm","20.7mm","B","180.00","0R"
"R4_M503","RESC1608M","67.728mm","20.702mm","67.728mm","20.702mm","68.678mm","20.702mm","B","180.00","0R"
"R4_M504","RESC1608M","39.736mm","13.756mm","39.736mm","13.756mm","38.786mm","13.756mm","B","360.00","0R"
"R4_M505","RESC1608M","21.925mm","13.758mm","21.925mm","13.758mm","20.975mm","13.758mm","B","360.00","0R"
"R4_M506","RESC1608M","57.471mm","13.769mm","57.471mm","13.769mm","56.521mm","13.769mm","B","360.00","0R"
"R5_M501","FOOTPRINT_1812","27.76mm","22.24mm","27.76mm","22.24mm","27.76mm","20.19mm","B","90.00","0.025R"
"R5_M502","FOOTPRINT_1812","45.489mm","22.3mm","45.489mm","22.3mm","45.489mm","20.25mm","B","90.00","0.025R"
"R5_M503","FOOTPRINT_1812","63.228mm","22.302mm","63.228mm","22.302mm","63.228mm","20.252mm","B","90.00","0.025R"
"R5_M504","FOOTPRINT_1812","44.236mm","12.156mm","44.236mm","12.156mm","44.236mm","14.206mm","B","270.00","0.025R"
"R5_M505","FOOTPRINT_1812","26.425mm","12.158mm","26.425mm","12.158mm","26.425mm","14.208mm","B","270.00","0.025R"
"R5_M506","FOOTPRINT_1812","61.971mm","12.169mm","61.971mm","12.169mm","61.971mm","14.219mm","B","270.00","0.025R"
"R6_M501","FOOTPRINT_1812","23.66mm","22.24mm","23.66mm","22.24mm","23.66mm","20.19mm","B","90.00","0.025R"
"R6_M502","FOOTPRINT_1812","41.389mm","22.3mm","41.389mm","22.3mm","41.389mm","20.25mm","B","90.00","0.025R"
"R6_M503","FOOTPRINT_1812","59.128mm","22.302mm","59.128mm","22.302mm","59.128mm","20.252mm","B","90.00","0.025R"
"R6_M504","FOOTPRINT_1812","48.336mm","12.156mm","48.336mm","12.156mm","48.336mm","14.206mm","B","270.00","0.025R"
"R6_M505","FOOTPRINT_1812","30.525mm","12.158mm","30.525mm","12.158mm","30.525mm","14.208mm","B","270.00","0.025R"
"R6_M506","FOOTPRINT_1812","66.071mm","12.169mm","66.071mm","12.169mm","66.071mm","14.219mm","B","270.00","0.025R"
